ImageId,Label
1,8
2,2
3,0
4,9
5,9
6,2
7,7
8,0
9,3
10,0
11,3
12,5
13,7
14,4
15,0
16,4
17,3
18,3
19,1
20,9
21,0
22,9
23,1
24,1
25,5
26,7
27,4
28,2
29,7
30,8
31,7
32,7
33,5
34,4
35,2
36,6
37,2
38,5
39,5
40,1
41,6
42,7
43,7
44,4
45,9
46,8
47,7
48,8
49,2
50,6
51,7
52,6
53,8
54,8
55,3
56,8
57,2
58,1
59,8
60,2
61,0
62,4
63,1
64,7
65,0
66,0
67,0
68,1
69,9
70,0
71,1
72,6
73,5
74,8
75,8
76,2
77,8
78,3
79,9
80,2
81,3
82,5
83,9
84,1
85,0
86,9
87,2
88,4
89,3
90,6
91,7
92,2
93,0
94,6
95,6
96,1
97,4
98,3
99,8
100,7
101,4
102,0
103,3
104,2
105,0
106,7
107,3
108,0
109,5
110,0
111,3
112,0
113,0
114,4
115,7
116,1
117,7
118,1
119,1
120,5
121,3
122,3
123,7
124,2
125,8
126,6
127,3
128,8
129,7
130,8
131,4
132,5
133,5
134,6
135,0
136,0
137,0
138,3
139,1
140,3
141,6
142,4
143,3
144,4
145,5
146,5
147,8
148,7
149,7
150,2
151,8
152,4
153,3
154,5
155,6
156,5
157,3
158,7
159,3
160,7
161,8
162,3
163,0
164,4
165,5
166,1
167,3
168,7
169,6
170,3
171,0
172,2
173,7
174,8
175,6
176,1
177,3
178,7
179,4
180,1
181,2
182,4
183,3
184,5
185,2
186,4
187,9
188,2
189,1
190,6
191,0
192,6
193,1
194,4
195,9
196,6
197,0
198,9
199,7
200,6
201,9
202,1
203,9
204,0
205,9
206,9
207,0
208,8
209,4
210,6
211,2
212,0
213,9
214,3
215,6
216,3
217,2
218,1
219,6
220,3
221,4
222,2
223,3
224,1
225,2
226,2
227,0
228,4
229,6
230,1
231,0
232,0
233,4
234,9
235,1
236,7
237,2
238,2
239,3
240,8
241,6
242,8
243,6
244,2
245,8
246,5
247,5
248,4
249,8
250,3
251,8
252,9
253,7
254,1
255,3
256,8
257,4
258,5
259,1
260,4
261,3
262,6
263,3
264,3
265,5
266,7
267,0
268,6
269,8
270,3
271,1
272,6
273,0
274,6
275,3
276,9
277,5
278,1
279,5
280,8
281,4
282,0
283,9
284,2
285,0
286,5
287,3
288,7
289,1
290,9
291,9
292,5
293,7
294,7
295,9
296,9
297,6
298,3
299,0
300,3
301,3
302,6
303,9
304,8
305,2
306,6
307,3
308,7
309,1
310,4
311,5
312,8
313,5
314,9
315,0
316,0
317,3
318,8
319,4
320,1
